# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.571101139896041445e+02 1.258915002912297609e+01 4.759397765012838136e+03 3.901145709026916109e+01 8.238172682538744143e+36 2.443768099622296045e+34 0.000000000000000000e+00 4.798409222103107822e+03 0.000000000000000000e+00 8.262610363534966938e+36
3.576212333613303826e+02 1.257619928010613997e+01 4.796408634560038081e+03 0.000000000000000000e+00 8.320596698060494025e+36 0.000000000000000000e+00 4.796408634560038081e+03 0.000000000000000000e+00 8.320596698060494025e+36 0.000000000000000000e+00
3.582227867231731011e+02 1.256103312138708183e+01 5.864722382570493210e+03 0.000000000000000000e+00 1.082409487019984006e+37 0.000000000000000000e+00 9.132682134209209153e+02 4.951454169149572408e+03 5.071399851642189189e+35 1.031695488503562055e+37
3.587893759059628565e+02 1.254677942274635782e+01 5.863722088798844197e+03 0.000000000000000000e+00 1.176353030699546833e+37 0.000000000000000000e+00 5.863722088798844197e+03 0.000000000000000000e+00 1.176353030699546833e+37 0.000000000000000000e+00
3.593114795579710403e+02 1.253368815842056172e+01 5.780697705760544522e+03 8.002350172362753256e+01 1.301338546900537467e+37 2.304078405602334947e+35 5.780697705760544522e+03 8.002350172362753256e+01 1.301338546900537467e+37 2.304078405602334947e+35
3.598419691147788626e+02 1.252037878089669576e+01 5.712677729295516656e+03 1.480434781887123847e+02 1.447160566908822942e+37 3.918741872546482083e+35 5.712677729295516656e+03 1.480434781887123847e+02 1.447160566908822942e+37 3.918741872546482083e+35
3.603891951403234657e+02 1.250667690609157923e+01 5.617649820998762152e+03 2.390702113993418720e+02 1.431644403915357194e+37 6.950888210792768042e+35 4.708382782664026308e+03 1.148337249734076750e+03 1.391638153080785352e+37 1.095151329424993896e+36
3.607279848968722717e+02 1.249822572762856687e+01 5.564634251106850570e+03 2.890848999766097336e+02 1.325147640916693534e+37 7.571734707561921787e+35 5.108500291282163744e+03 7.452188598012951388e+02 1.221213595486528777e+37 1.796513925057839456e+36
3.610006866700909995e+02 1.249145747989269495e+01 5.493613393327095764e+03 3.571048764416922268e+02 1.277290676722219812e+37 8.462945956310458870e+35 4.037185661957057164e+03 1.813532607811730486e+03 8.578499191108094815e+36 5.040702171745147864e+36
3.615740010576313921e+02 1.247725037014263272e+01 5.341568740052218345e+03 5.051483546304064589e+02 1.048145701205082395e+37 1.030279450266998099e+36 5.341568740052218345e+03 5.051483546304064589e+02 1.048145701205082395e+37 1.030279450266998099e+36
3.620893612330117435e+02 1.246444447457622751e+01 5.359574027940047017e+03 4.771401290271374478e+02 9.003804969912429325e+36 8.953749730445061315e+35 5.359574027940047017e+03 4.771401290271374478e+02 9.003804969912429325e+36 8.953749730445061315e+35
3.626119196234628816e+02 1.245150577011971116e+01 5.302557282961899546e+03 5.271548176043994545e+02 7.845345963448739216e+36 8.459358665398625543e+35 5.302557282961899546e+03 5.271548176043994545e+02 7.845345963448739216e+36 8.459358665398625543e+35
3.631215072419950047e+02 1.243893538746922012e+01 5.301556989190443346e+03 5.171518798889545678e+02 7.055943141987367425e+36 7.423345433274602292e+35 5.301556989190443346e+03 5.171518798889545678e+02 7.055943141987367425e+36 7.423345433274602292e+35
3.636427032810132687e+02 1.242610293077521710e+01 5.341568740052192879e+03 4.651366037685897936e+02 6.438538745079104242e+36 6.270702178808725618e+35 3.439009986572928938e+03 2.367695357247854190e+03 4.487531262025881124e+36 2.578077700934095385e+36
3.641872091550404207e+02 1.241276588296144645e+01 5.385581666000216501e+03 4.161222089628696494e+02 5.971894688444718970e+36 5.291811004727413416e+35 4.575343711048475598e+03 1.226360163914610666e+03 4.772909405390213847e+36 1.728166383527248088e+36
3.646959393201223634e+02 1.240031134320411255e+01 5.400586072573391903e+03 3.961163335319621410e+02 5.494585796753724113e+36 4.640573150223590918e+35 4.481316096523207307e+03 1.315386309582146851e+03 4.251551966365539608e+36 1.707091145410543745e+36
3.651955472564753222e+02 1.238806538581471450e+01 5.484610749383220536e+03 3.060898940928808543e+02 5.199277988194469659e+36 3.235648734892867003e+35 4.607353111737937070e+03 1.183347531738162843e+03 4.108014888398315657e+36 1.414827973285439411e+36
3.657119431997989523e+02 1.237545457288450912e+01 5.366576084340764282e+03 4.161222089628625440e+02 4.725820485458300299e+36 3.782202896812247046e+35 1.243365158030861039e+03 4.539333135272765503e+03 7.112438180330110358e+35 4.392796957106514116e+36
3.662517668548872507e+02 1.236235243250900417e+01 5.049482958760898327e+03 7.262132781419200001e+02 4.148885328560688271e+36 5.313688732165293393e+35 3.555044064072154470e+03 2.220652172830664767e+03 3.098336314658533022e+36 1.581917887118684292e+36
3.668058292602080428e+02 1.234893136783265000e+01 4.974460925894994944e+03 7.972341359216389947e+02 3.839746297508896327e+36 4.834823165267682120e+35 3.111913923277564663e+03 2.659781138539069616e+03 2.485520615386611124e+36 1.837707998649053415e+36
3.673228401069852112e+02 1.233640129500641258e+01 5.037479433502412576e+03 7.222121030557470931e+02 3.601513696249366609e+36 4.295595020681705082e+35 3.073902759958879415e+03 2.685788776599280936e+03 2.296819281887366275e+36 1.734253916430171802e+36
3.678775305586020181e+02 1.232300087315311288e+01 5.090495003394358719e+03 6.611941829914858317e+02 3.375974346357135951e+36 3.685737332486847465e+35 3.834126026333381560e+03 1.917563160052463445e+03 2.786616109545411317e+36 9.579319700604093800e+35
3.684213624875912387e+02 1.230988889377771400e+01 4.997467682640610292e+03 7.472194473443821607e+02 3.125340890855650213e+36 3.959024490070433151e+35 3.623064040537286928e+03 2.121623089447704388e+03 2.485231827232854915e+36 1.036011512629838614e+36
3.689388956891240241e+02 1.229744019341508476e+01 4.932448587490138380e+03 8.052364860940097060e+02 2.898721995345479771e+36 4.213957516215362222e+35 3.680080785515356183e+03 2.057604288068792812e+03 2.369117502056012251e+36 9.510002449110038163e+35
3.694465574436622433e+02 1.228532023681426288e+01 4.885434780227523333e+03 8.462485307273719854e+02 2.689749807121308130e+36 4.576206651324444109e+35 3.704087836032457744e+03 2.027595474922438825e+03 2.256716823838919275e+36 8.906536484148331189e+35
3.700006925170146701e+02 1.227207232634790124e+01 4.605352524194831858e+03 1.118328436587711394e+03 2.383025246772246714e+36 5.857495595358801325e+35 1.330390716155327482e+03 4.393290244627215543e+03 8.090534781325710063e+35 2.159721328175555471e+36
3.705764803342155460e+02 1.225827994101569196e+01 4.480315802751621959e+03 1.235362807858507267e+03 2.160508514263559045e+36 6.285488268083891992e+35 2.163635427852592329e+03 3.552043182757537579e+03 9.550213635013979786e+35 1.834035977570550191e+36
3.711124372803274696e+02 1.224554291833401898e+01 4.512325203441139820e+03 1.193350469453620235e+03 2.043993852546815006e+36 5.882535898219827158e+35 4.288259398614978636e+03 1.417416274279782101e+03 1.931640472215138549e+36 7.006069701536590996e+35
3.716307921125123244e+02 1.223324946555165837e+01 4.513325497212601476e+03 1.181346944195054220e+03 1.932096462686084529e+36 5.514244609464876992e+35 4.289259692386443930e+03 1.405412749021211539e+03 1.826799911875640610e+36 6.567210117569315448e+35
3.721629198697909828e+02 1.222065308465233180e+01 4.294261161244197865e+03 1.394409517534221322e+03 1.762681819525099790e+36 6.068822729593107341e+35 3.197939187630491688e+03 2.490731491147927500e+03 1.221704931513317093e+36 1.147859160971093432e+36
3.727093937512923958e+02 1.220775878555845573e+01 4.407294357428811054e+03 1.270373089862594497e+03 1.718538291870999535e+36 5.446989225014823323e+35 3.281963864440293037e+03 2.395703582851113424e+03 1.426196357661177591e+36 8.370408567113042019e+35
3.732480889302213996e+02 1.219504108173890700e+01 4.258250585468551435e+03 1.410414217878942509e+03 1.588969047437889252e+36 5.637047009255897969e+35 2.054603406754146818e+03 3.614061396593347126e+03 8.256995007978285725e+35 1.326974247565650771e+36
3.737547744185014835e+02 1.218310140557453281e+01 7.237125437130723185e+03 1.759516744148298812e+03 8.017529042618085606e+36 6.734328596395160889e+35 7.237125437130723185e+03 1.759516744148298812e+03 8.017529042618085606e+36 6.734328596395160889e+35
3.743691403164302756e+02 1.216870593052498073e+01 7.119090772088335143e+03 1.869549059018279877e+03 7.925907985453262318e+36 6.740730497761608851e+35 6.931035543037806747e+03 2.057604288068807364e+03 7.876186731819402349e+36 7.237943034100204112e+35
3.749084165894260536e+02 1.215612668335163704e+01 9.937918620303158605e+03 2.205647766257518924e+03 1.425210299917929565e+37 7.470619850492931993e+35 6.286846354162591524e+03 5.856720032398085095e+03 7.384567398116592986e+36 7.614597586111998371e+36
3.754317075871047109e+02 1.214390002144700453e+01 9.867898056294930939e+03 2.267665980093320286e+03 1.468176051676552237e+37 7.345044695752531505e+35 9.442773203388152297e+02 1.119128671604943520e+04 3.259376527490815102e+35 1.509032733359169634e+37
3.759495572035114037e+02 1.213181061653594561e+01 9.788874848342773475e+03 2.341687719187659695e+03 1.545558959467578576e+37 8.148910790849581584e+35 2.905853406339235335e+03 9.224709161191200110e+03 9.690455308558877320e+35 1.530143514290485781e+37
3.764578711433381386e+02 1.212000540347156807e+01 9.780872498170490871e+03 2.339687131644586771e+03 1.733645412069662485e+37 7.964188179286571772e+35 6.236831665585295013e+03 5.883727964229782629e+03 7.580330783328717804e+36 1.055254215529656835e+37
3.769946444958724783e+02 1.210756226093236698e+01 9.778871910627343823e+03 2.336686250329937593e+03 1.907475138133949854e+37 9.852224476596855712e+35 6.259838422330803041e+03 5.855719738626479739e+03 8.303973949301801609e+36 1.175599987969737999e+37
3.775192172235285284e+02 1.209543472182981816e+01 9.695847527589081437e+03 2.404706226795021394e+03 1.850620755432284400e+37 1.074905007112472795e+36 6.140803463516906049e+03 5.959750290867195872e+03 9.250991736785924178e+36 1.033012082464938849e+37
3.780643366685033016e+02 1.208289837758438168e+01 9.809881017545185387e+03 2.280669799123383200e+03 1.845124150843001273e+37 1.039792447239183428e+36 2.911855168968494581e+03 9.178695647700074915e+03 8.518235341709163604e+35 1.863921042149827788e+37
3.786040506243160166e+02 1.207044338469021305e+01 9.845891593320840911e+03 2.233655991860757240e+03 1.679552261257724477e+37 1.026047031216858046e+36 3.228948294548375998e+03 8.850599290633223063e+03 8.878171583439137706e+35 1.693375248545018993e+37
3.791038086396057452e+02 1.205893158344426119e+01 9.878901287781989595e+03 2.183641303283523484e+03 1.429359004604920664e+37 9.630320161504197448e+35 2.857839305305097241e+03 9.204703285760417202e+03 7.903978735124878239e+35 1.446622418868713767e+37
3.796262196370528272e+02 1.204698061447855117e+01 9.830887186747675514e+03 2.211649528886763619e+03 1.251363533346051330e+37 8.952661953906177311e+35 2.578757343043905166e+03 9.463779372590533967e+03 6.927867782260954808e+35 1.271611475062503526e+37
3.801315925890139056e+02 1.203545226638723697e+01 9.795876904743556224e+03 2.236656873175389592e+03 1.089700606799903813e+37 8.158184933934415547e+35 3.408000879654987784e+03 8.624532898263958486e+03 8.812028542905357203e+35 1.083162170710194456e+37
3.806675367828613616e+02 1.202324877842851514e+01 9.597818737977708224e+03 2.416709752053584452e+03 9.809659221693035671e+36 9.299517698082869846e+35 3.096909516704426551e+03 8.917618973326865671e+03 7.533228761240304944e+35 9.986288115377291866e+36
3.811837720302372645e+02 1.201146615911423510e+01 9.578813156318197798e+03 2.418710339596637368e+03 9.065965899512562642e+36 8.884532211268840935e+35 2.986877201834391144e+03 9.010646294080444932e+03 7.278267395239804507e+35 9.226592381115466137e+36
3.816981719084363931e+02 1.199978246382042357e+01 9.542802580542584110e+03 2.438716215027548969e+03 8.195672335677877411e+36 8.905683353500816307e+35 2.998880727092941925e+03 8.982638068477190245e+03 7.178473608751638651e+35 8.368393310152797095e+36
3.822025250088004782e+02 1.198834731774043227e+01 9.435771146987379325e+03 2.525741773152033602e+03 7.709667775166779753e+36 7.700840942952247449e+35 9.241714155307578039e+03 2.719798764831833068e+03 7.672065240119913787e+36 8.076866293420896782e+35
3.827039400615010436e+02 1.197699871049545273e+01 9.490787304422261514e+03 2.453720621600737559e+03 7.200084952121752538e+36 7.036304375612441982e+35 2.965871032631955586e+03 8.978636893391041667e+03 7.185521727904166328e+35 7.185163216892580399e+36
3.832270988318581431e+02 1.196525136708211789e+01 9.286727375027046946e+03 2.639775263108183026e+03 6.518943204478868439e+36 7.640441803373444290e+35 8.886609866408907692e+03 3.039892771726324099e+03 6.448166615234723619e+36 8.348207695814883636e+35
3.837351243085190617e+02 1.195382064540068789e+01 9.255718268109143537e+03 2.649778200823637235e+03 6.056604437689364683e+36 7.493833293491013877e+35 8.622532310720936948e+03 3.282964158211844733e+03 5.934228741830232040e+36 8.717590252082332924e+35
3.842406272881303835e+02 1.194242738118749791e+01 8.886609866408976814e+03 3.000881314636078514e+03 5.606881307364475142e+36 7.808458899917047742e+35 8.609528491690911324e+03 3.277962689354143549e+03 5.552233649358618279e+36 8.354935479975613422e+35
3.847568157572564473e+02 1.193085229910126976e+01 8.984638656020466442e+03 2.886847824679922724e+03 5.221296798046964818e+36 8.094056406599525356e+35 8.513500289622599666e+03 3.357986191077789044e+03 5.123048948663479693e+36 9.076534900434378082e+35
3.852724953269514003e+02 1.191934209459223482e+01 8.739566681991867881e+03 3.117915685906907129e+03 4.769595025967188697e+36 8.646884839259188525e+35 3.611060515278772982e+03 8.246421852620002028e+03 1.194729055338975198e+36 4.439554454554131761e+36
3.857812565395379920e+02 1.190800637411767404e+01 8.572517622143670451e+03 3.269960339181756808e+03 4.475998334261830202e+36 8.935052012761801984e+35 3.487024087607098409e+03 8.355453873718332034e+03 1.116427211351593897e+36 4.253076324186417094e+36
3.862983420983354108e+02 1.189650624902106379e+01 8.601526141518465010e+03 3.227948000776843401e+03 4.246910917574156786e+36 8.505859475058287847e+35 8.218413627016594546e+03 3.611060515278712501e+03 4.141077822037707000e+36 9.564190430422785704e+35
3.868011395996131228e+02 1.188533037577949436e+01 8.507498526993225823e+03 3.301969739871208731e+03 3.964898895886444033e+36 8.416949417449901343e+35 8.233418033589798142e+03 3.576050233274635502e+03 3.922656711231333093e+36 8.839371264001012218e+35
3.873345326067895940e+02 1.187349559847301350e+01 8.540508221454299928e+03 3.251955051293970882e+03 3.795159290799299576e+36 8.125654518274580529e+35 8.323444473028956054e+03 3.469018799719314302e+03 3.762072575637288249e+36 8.456521669894699706e+35
3.878576233228774868e+02 1.186191050053176888e+01 8.476489420075358794e+03 3.298968858556587293e+03 3.589964014366681930e+36 8.116699120941759732e+35 7.575224731912992866e+03 4.200233546718955040e+03 3.381042133274747150e+36 1.020591793186110163e+36
3.883759684767431963e+02 1.185049444549042263e+01 8.672546999298125229e+03 3.089907460303564221e+03 3.446897296346766366e+36 7.032726039677933725e+35 7.799290536739040363e+03 3.963163922862648178e+03 3.242945380131238142e+36 9.072245201833217438e+35
3.885106030143161320e+02 1.184753964124430148e+01 8.732564625590912328e+03 3.024888365153140057e+03 3.388326176269814573e+36 7.013559768105378813e+35 6.757984720560390087e+03 4.999468270183661843e+03 2.727513828586853433e+36 1.362168324493498283e+36
3.887243988370288434e+02 1.184285028714102417e+01 8.641537892380329140e+03 3.108913041962964598e+03 3.292101073986429102e+36 7.183862197171745797e+35 8.203409220443461891e+03 3.547041713899830938e+03 3.183801605834734044e+36 8.266856878688700810e+35
3.889437590393399660e+02 1.183804244176722698e+01 8.646539361238044876e+03 3.097909810475961876e+03 3.247532718451678278e+36 7.052840162296736322e+35 6.701968269353876167e+03 5.042480902360130131e+03 2.880421995377186562e+36 1.072394739304165201e+36
3.891594709118035098e+02 1.183330809377301307e+01 8.427475025269546677e+03 3.309972090043551361e+03 3.146890514269557304e+36 7.366339593884498384e+35 6.139803169745338892e+03 5.597643945567760056e+03 2.240709438977048823e+36 1.642815034680958909e+36
3.893784635031016137e+02 1.182848039108886518e+01 8.535506752596485967e+03 3.193938012544307185e+03 3.114816754123227798e+36 6.969910459969208738e+35 6.050777024077833630e+03 5.678667741062960886e+03 2.152264961548694387e+36 1.659542838571454876e+36
3.895990777880564906e+02 1.182362060936325676e+01 8.521502639794947754e+03 3.199939775173616908e+03 3.049991949478713740e+36 6.890003109107367607e+35 8.140390712836166131e+03 3.581051702132400351e+03 2.939792716590827860e+36 7.991995437986221981e+35
3.898167577092270903e+02 1.181882907455763210e+01 8.436477669213469198e+03 3.278962983125652499e+03 2.955011185760580165e+36 7.113862674318602757e+35 7.607234132602376121e+03 4.108206519736746486e+03 2.762082950762180764e+36 9.043145024302602664e+35
3.900233701499290646e+02 1.181430555737845012e+01 8.410470031153341552e+03 3.296968271013487538e+03 2.920825791446705096e+36 6.798767398883869679e+35 5.043481196131679098e+03 6.663957106035151810e+03 1.607933237590886807e+36 1.992769293744205552e+36
3.902298140759629064e+02 1.180979589515729167e+01 8.343450348459757151e+03 3.353985015991554974e+03 2.846896425119278476e+36 7.040815344867678176e+35 7.925327551953800139e+03 3.772107812497510622e+03 2.660486747412640866e+36 8.904912121934054270e+35
3.904371179141905372e+02 1.180527064144142457e+01 8.442479431842757549e+03 3.245953288664661613e+03 2.818551563201588641e+36 6.709227198933126327e+35 8.358454755032948015e+03 3.329977965474471148e+03 2.804565189289835406e+36 6.849090938050655723e+35
3.906408171649708265e+02 1.180082718582298185e+01 8.439478550528121559e+03 3.240951819806934964e+03 2.771670233678025183e+36 6.785062187740908365e+35 8.094377199344976361e+03 3.586053170990081526e+03 2.713758215083811097e+36 7.364182373683047745e+35
3.908515633501854154e+02 1.179623325423625957e+01 8.622532310720966052e+03 3.050896003213334552e+03 2.792838428231360451e+36 6.067107222374764752e+35 6.214825202611295026e+03 5.458603111323007397e+03 1.907931723842609650e+36 1.491617426626227424e+36
3.910682945798087076e+02 1.179151229604493700e+01 8.496495295506318143e+03 3.171931549570346760e+03 2.726240335208073268e+36 6.331703951491104056e+35 5.454601936236866095e+03 6.213824908839798809e+03 1.531482725098677211e+36 1.827928005258506537e+36
3.912729082838821455e+02 1.178705848405265755e+01 8.515500877165666680e+03 3.142923030195525826e+03 2.672287150673284816e+36 6.397195990456569738e+35 6.511912452760305314e+03 5.146511454600886282e+03 1.903250828507945771e+36 1.408755921210995576e+36
3.914758855839683633e+02 1.178264335488507975e+01 8.422473556411832760e+03 3.226947707005292614e+03 2.615287595201940802e+36 6.617856659196954688e+35 6.668958574892836623e+03 4.980462688524288751e+03 1.993436220986422554e+36 1.283637040135213643e+36
3.916782014335132658e+02 1.177824564647189476e+01 8.436477669213536501e+03 3.206941831574411935e+03 2.603510393706831128e+36 6.348512359710389051e+35 6.126799350715305991e+03 5.516620150072640172e+03 1.734473588787765334e+36 1.503888040890104847e+36
3.918847776747903708e+02 1.177378497424053272e+01 8.277430959537903618e+03 3.356985897306247807e+03 2.487949726520520802e+36 6.958091001683804749e+35 6.249835484615446148e+03 5.384581372228705732e+03 1.741286269491596070e+36 1.442472557197305502e+36
3.921026344508047714e+02 1.176905995856194131e+01 8.444480019385915512e+03 3.184935368600420588e+03 2.472236335946834145e+36 6.572783023753557928e+35 5.944745884294065036e+03 5.684669503692271974e+03 1.673108894377472593e+36 1.456405743944716976e+36
3.923068214921696040e+02 1.176462619965556122e+01 8.459484425959139116e+03 3.166930080712621020e+03 2.441219155512988730e+36 6.483863447189300361e+35 1.947571973198822434e+03 9.678842533472938158e+03 3.114667357150534824e+35 2.778138764516865210e+36
3.925250115770695629e+02 1.175989177757249671e+01 8.552511746712772947e+03 3.059898647157235700e+03 2.428627089587355871e+36 6.121631338206603816e+35 4.337273793420652510e+03 7.275136600449355683e+03 1.077312338972946240e+36 1.963477884435070161e+36
3.927255947314633886e+02 1.175554249873490420e+01 8.406468856067200250e+03 3.199939775173604176e+03 2.354249118900369528e+36 6.444297541595761505e+35 4.046188305900978776e+03 7.560220325339824740e+03 9.667545014820421176e+35 2.031924371577903856e+36
3.929434615537871878e+02 1.175082181310659912e+01 8.124386012491277143e+03 3.472019681033885718e+03 2.257230946359609144e+36 7.068610988122966814e+35 3.895143946397566651e+03 7.701261747127596209e+03 9.305484489792066954e+35 2.033543596192699130e+36
3.931486049633546145e+02 1.174638000821568795e+01 8.186404226327159449e+03 3.399998529482650611e+03 2.246282126739340038e+36 6.754089560972210606e+35 3.792113687928428590e+03 7.794289067881381015e+03 9.064133278928666731e+35 2.015277754943694278e+36
3.933588309547612312e+02 1.174183136373388514e+01 8.147392769237012544e+03 3.434008517715243670e+03 2.204706218473576933e+36 6.731041835385731494e+35 4.079198000362005132e+03 7.502203286590250173e+03 9.689747265009852368e+35 1.908835675511164550e+36
3.935710183261674615e+02 1.173725111990405878e+01 8.127386893806028638e+03 3.448012630516846002e+03 2.158933549494593587e+36 6.870995596102421728e+35 6.386875731317106329e+03 5.188523793005769221e+03 1.564183233172455833e+36 1.281849875932379631e+36
3.937764578099271375e+02 1.173283983824924270e+01 8.249422733934477947e+03 3.314973558901280740e+03 2.161234123465037340e+36 6.485067078253599347e+35 3.792113687928411309e+03 7.772282604907348286e+03 8.720366860055002383e+35 1.937704145284896667e+36
3.940056385672558008e+02 1.172792237831773576e+01 8.005351053677366508e+03 3.556044357843688886e+03 2.061576718205354049e+36 6.966148492066007058e+35 7.623238832947047740e+03 3.938156578574008563e+03 1.965659017380377348e+36 7.925325500315774066e+35
3.942082761337490524e+02 1.172357761014999333e+01 7.740273204217959574e+03 3.816120738445530151e+03 1.974527603834495780e+36 7.511301241297968127e+35 2.228654523003051054e+03 9.327739419660438216e+03 3.367482796055279044e+35 2.388909448358764393e+36
3.944139322130797041e+02 1.171917115360139761e+01 7.720267328787092993e+03 3.834126026333366099e+03 1.943530518222794739e+36 7.432538978924200652e+35 3.696085485860106928e+03 7.858307869260352163e+03 7.863085687692024503e+35 1.900475847346012796e+36
3.946168702974903795e+02 1.171482592457443950e+01 7.735271735360212006e+03 3.812119563359337917e+03 1.948832706950643482e+36 7.036389454528241362e+35 4.942451525205587131e+03 6.604939773513962791e+03 1.142948918775593776e+36 1.509522733627873695e+36
3.948316762023135880e+02 1.171022611328488772e+01 7.755277610791173174e+03 3.781110456441459064e+03 1.922570736815706308e+36 7.022914918915624961e+35 3.532037307326664632e+03 8.004350759905968516e+03 6.927485677549278131e+35 1.932113660952341138e+36
3.950465748087166276e+02 1.170559775667424063e+01 7.728269678959426528e+03 3.798115450557719214e+03 1.895970544492361461e+36 7.034119989575530527e+35 4.813413628676256849e+03 6.712971500840889348e+03 1.082650338628155543e+36 1.516732204821758233e+36
3.952746945688836036e+02 1.170068833762870497e+01 7.634242064434146414e+03 3.887141596225246758e+03 1.852402209967495503e+36 7.188603041185208536e+35 5.823710337937053737e+03 5.697673322722339435e+03 1.352164074261762119e+36 1.219098439824253942e+36
3.955042074046211269e+02 1.169577245382728670e+01 7.734271441588618472e+03 3.782110750212953917e+03 1.860465058362620108e+36 6.833572168450996252e+35 6.818002346853081690e+03 4.698379844948491154e+03 1.666626568605363586e+36 8.771957066023564422e+35
